Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Franco Di Santo,ar ARG,FW,Göztepe,32,1989,11.0,3,0,0,24,11,6,14,2,2,,,0,Matches
Fousseni Diabaté,ml MLI,MF,Giresunspor,25,1995,28.6,2,0,0,16,36,7,41,7,9,,,0,Matches

Mbaye Diagne,sn SEN,FW,Galatasaray,29,1991,7.4,1,0,0,10,10,6,1,0,1,,,0,Matches
Mamadou Diarra,sn SEN,DF,Giresunspor,23,1997,27.7,4,0,0,24,27,1,2,36,20,,,0,Matches
Pa Dibba,gm GAM,FW,Adana Demirspor,33,1987,0.2,0,0,0,0,0,0,2,0,0,,,0,Matches
Nouha Dicko,ml MLI,"FW,MF",Yeni Mal'spor,29,1992,14.6,1,0,0,22,23,12,15,8,8,,,0,Matches
Nouha Dicko,ml MLI,"FW,MF",Gaziantep FK,29,1992,8.7,2,0,0,17,13,9,16,3,8,,,0,Matches
Famara Diedhiou,sn SEN,FW,Alanyaspor,28,1992,17.7,7,1,1,18,32,9,3,0,5,,,1,Matches
Sahin Dik,tr TUR,DF,Giresunspor,17,2004,0.4,0,0,0,0,0,0,1,1,1,,,0,Matches
Soner Dikmen,tr TUR,MF,Konyaspor,27,1993,28.0,5,0,0,32,32,4,22,39,22,,,0,Matches
